Marca;CodigoProduto;Saldo
10;41130811015249    ;0
10;41130811015250    ;0
10;41130811015401    ;0
10;41130811015438    ;0
10;41130811015439    ;0
10;41130811015440    ;0
10;41130811015876    ;0
10;41130811015939    ;0
10;41130814015251    ;0
10;41130821015564    ;0
10;41130821015568    ;0
10;41130821015574    ;0
10;41130821015578    ;0
10;41130821015580    ;0
10;41130821015586    ;0
10;41130821015590    ;0
10;41130821015639    ;0
10;41130831005029    ;0
10;41130831005233    ;0
10;41130831015287    ;0
10;41130911014886    ;0
10;41130911014980    ;0
10;41130911014981    ;0
10;41130911014982    ;0
10;41130911014983    ;0
10;41130911014984    ;0
10;41130911014985    ;0
10;41130974005029    ;0
10;41130974014952    ;0
10;41130974014961    ;0
10;41130974015151    ;0
10;41130974015249    ;0
10;41130974015250    ;0
10;41130974015287    ;0
10;41130974015401    ;0
10;41130974015438    ;0
10;41130974015439    ;0
10;41130974015440    ;0
10;41130974015640    ;0
10;41130974015641    ;0
10;41130974015642    ;0
10;41130974015643    ;0
10;41130974015644    ;0
10;41130974015645    ;0
10;41130974015646    ;0
10;41130974015647    ;0
10;41130994005029    ;0
10;41130994005032    ;0
10;41130994015208    ;0
10;41130994015209    ;0
10;41130994015210    ;0
10;41130994015287    ;0
10;41130994015333    ;0
10;41130994015334    ;0
10;41130994015414    ;0
10;41130994015435    ;0
10;41130994015640    ;0
10;41130994015677    ;0
10;41140814012308    ;0
10;41140814012313    ;0
10;41140814012320    ;0
10;41140814012379    ;0
10;41150214002105    ;60
10;41150214002140    ;3000
10;41150214002141    ;20
10;41150214002919    ;1440
10;41150214004330    ;520
10;41150214004337    ;20
10;41150214006249    ;560
10;41150214006329    ;20
10;41150214007079    ;480
10;41150214007312    ;940
10;41150214007340    ;440
10;41150214007731    ;60
10;41150214008010    ;20
10;41150214008306    ;160
10;41150214008348    ;2240
10;41150214008403    ;280
10;41150214008406    ;260
10;41150214008407    ;700
10;41150214008409    ;300
10;41150214008420    ;3100
10;41150214008423    ;1000
10;41150214008424    ;1620
10;41150214008425    ;140
10;41150214008430    ;40
10;41150214008440    ;340
10;41150214008441    ;660
10;41150214008442    ;10560
10;41150214008443    ;6240
10;41150214008450    ;1180
10;41150214009883    ;1780
10;41150214011242    ;380
10;41150214011418    ;440
10;41150214011831    ;20
10;41150214011832    ;2220
10;41150214011833    ;680
10;41150214012614    ;380
10;41150214012716    ;300
10;41150214012717    ;0
10;41150214013020    ;0
10;41150214013056    ;40
