;Nome;Saldo0;Referencias;Data0;Excedente1;Data2;Excedente3;Data4;Excedente5;Data6;Excedente7;Data8;Excedente9;Data10;Excedente11
97;PS SELVA MT 20X20;"Armazem
112,10";FHZ01MB991 ;;;;;;;;;;;;
98;Não encontrado;;FHZ02MB991 ;;;;;;;;;;;;
99;LM ALLURE ST 100X200 R;"Armazem
3448";FIC01ZF041 ;;;;;;;;;;;;
100;LM ALLURE MC 100X200 R;"Armazem
708";FIC02ZF041 ;;;;;;;;;;;;
101;PP BRICK LANE MOSS MT 7,5X30;"Armazem
230,52";FJD011P211 ; 30/05/2022 ; 200,65 M2;;;;;;;;;;
102;PP BRICK LANE COTTO MT 7,5X30;"Armazem
118,32";FJD011P501 ; 25/05/2022 ; 702,34 M2; 30/04/2022 ; 750,37 M2;;;;;;;;
103;RV BLOCK WHITE MT 15,4X15,4;"Armazem
463,11";FJG0139011 ;;;;;;;;;;;;
104;RV BLOCK BLACK MT 15,4X15,4;"Armazem
317,34";FJG0139161 ;;;;;;;;;;;;
105;RV BLOCK OXIDE BR 15,4X15,4;"Armazem
169,42";FJG013921 ;;;;;;;;;;;;
106;RV BLOCK RUST BR 15,4X15,4;"Armazem
0,43";FJG0139251 ; 01/05/2022 ; 364,23 M2;;;;;;;;;;
107;PP CUBIC WHITE MT 30X60 R;"Armazem
864,00";FJH0157011 ; 12/07/2022 ; 3736,44 M2;;;;;;;;;;
108;PP CUBIC STEEL COBRE 30X60 R;"Armazem
2291,76";FJH0257021 ; 14/07/2022 ; 1188,90 M2;;;;;;;;;;
109;PP CUBIC STEEL IRON 30X60 R;"Armazem
35,28";FJH0357021 ; 13/07/2022 ; 4570,02 M2;;;;;;;;;;
110;PP CARRARA MT 90X90 R;"Armazem
40,00";FJJ019B011 ; 30/06/2022 ; 188,00 M2; 18/05/2022 ; 10,40 M2; 30/04/2022 ; 21,60 M2; 31/10/2022 ; 736,80 M2; 31/08/2022 ; 129,60 M2;;
111;PP CARRARA GP 90X90 R;;FJJ019B101 ; 18/05/2022 ; 584,00 M2;;;;;;;;;;
112;INS CARRARA MT 30X90,2 R;;FJJ01AW011 ; 03/05/2022 ; 1067,31 M2;;;;;;;;;;
113;PE CARRARA POL 90X90 R;"Armazem
8,00";FJJ029B011 ; 31/10/2022 ; 596,00 M2; 30/09/2022 ; 178,40 M2; 30/06/2022 ; 58,40 M2; 24/05/2022 ; 191,20 M2; 30/04/2022 ; 157,60 M2;;
114;RV CARRARA MT 30X90,2 R;"Armazem
369,36";FJJ02AW011 ; 03/05/2022 ; 2893,32 M2; 07/05/2022 ; 1895,67 M2;;;;;;;;
115;LM CARRARA MC 120X120 R;;FJJ02E8011 ; 30/11/2022 ; 3291,75 M2; 31/08/2022 ; 3592,42 M2; 31/07/2022 ; 9578,85 M2; 30/05/2022 ; 4041,30 M2;;;;
116;LM CARRARA MC 60X120 R;;FJJ0354011 ; 31/08/2022 ; 2496,36 M2; 31/08/2022 ; 3594,73 M2; 30/06/2022 ; 1497,39 M2; 16/05/2022 ; 119,99 M2;;;;
117;LM CARRARA MT 120X120 R;;FJJ03E8011 ; 30/11/2022 ; 4290,68 M2; 30/09/2022 ; 2294,25 M2; 30/06/2022 ; 1496,25 M2; 30/05/2022 ; 2244,38 M2;;;;
118;LM CARRARA MT 60X120 R;"Armazem
694,38";FJJ0454011 ; 31/08/2022 ; 1497,39 M2; 30/04/2022 ; 219,39 M2;;;;;;;;
119;PP VULCANO MT 90X90 R;;FK4019B381 ; 30/06/2022 ; 548,80 M2;;;;;;;;;;
120;PP VULCANO CARVE 30X60 R;"Armazem
1323,00";FK40257381 ;;;;;;;;;;;;
121;PE VULCANO POL 90X90 R;;FK4029B381 ; 30/06/2022 ; 846,40 M2;;;;;;;;;;
122;INS BRICK ESSENCE MULTICOR 11X25;"Armazem
196,56";FKM011P991 ;;;;;;;;;;;;
123;INS MARBLE LASSA MT 30X90,2 R;"Armazem
339,12";FL601AW011 ;;;;;;;;;;;;
124;LM MARBLE LASSA MC 120X120 R;"Armazem
877,80";FL603E8011 ;;;;;;;;;;;;
125;LM MARBLE LASSA MT 120X120 R;;FL604E8011 ; 30/06/2022 ; 2793,00 M2;;;;;;;;;;
126;LM MARBLE SORRENTO MR MC120X120R;;FNJ02E8251 ; 30/11/2022 ; 2094,75 M2; 31/08/2022 ; 997,50 M2; 31/07/2022 ; 3092,25 M2; 30/05/2022 ; 3241,88 M2;;;;
127;LM MARBLE SORRENTO MR MT120X120R;;FNJ03E8251 ; 30/11/2022 ; 4190,92 M2; 30/06/2022 ; 1197,00 M2; 30/05/2022 ; 1995,00 M2;;;;;;
128;LM PULPIS GRAY MC 60X120 R;"Armazem
1919,13";FOH0154021 ;;;;;;;;;;;;
129;Não encontrado;;FOH01ZF021 ;;;;;;;;;;;;
130;LM PULPIS GRAY MT 60X120 R;"Armazem
125,67";FOH0254021 ; 31/08/2022 ; 3295,11 M2; 30/06/2022 ; 4193,97 M2;;;;;;;;
131;LM PULPIS INTENSE MC 100X200 R;"Armazem
658";FOH02ZF021 ;;;;;;;;;;;;
132;LM CALACATA LIGHT MC 120X120 R;;FOI01E8011 ; 30/11/2022 ; 997,50 M2; 31/08/2022 ; 1895,25 M2; 31/07/2022 ; 2543,62 M2;;;;;;
133;LM CALACATA LIGHT MT 120X250R;"Armazem
4589,65";FOI01HM011 ;;;;;;;;;;;;
134;LM CALACATA LIGHT MT 120X120 R;"Armazem
176,70";FOI02E8011 ;;;;;;;;;;;;
135;Não encontrado;;FOI02HM011 ;;;;;;;;;;;;
136;LM CONCRETE GRAY MC 120X120 R;"Armazem
228,00";FOK01E8021 ; 30/11/2022 ; 1496,25 M2; 31/08/2022 ; 1496,25 M2; 31/07/2022 ; 1147,12 M2;;;;;;
137;Não encontrado;;FOK01HM021 ;;;;;;;;;;;;
